kataAlay,kataBaik
bnran,yang benar
bodor,lucu
bokap,ayah
boker,buang air besar
bokis,bohong
boljug,boleh juga
bonek,bocah nekat
boyeh,boleh
br,baru
brg,bareng
bro,saudara laki-laki
bru,baru
bsen,bosan
bt,buat
btw,ngomong-ngomong
buaya,tidak setia
bubbu,tidur
bubu,tidur
bumil,ibu hamil
bw,bawa
bwt,buat
byk,banyak
byrin,bayarkan
cabal,sabar
cadas,keren
calo,makelar
can,belum
capcus,pergi
caper,cari perhatian
ce,cewek
cekal,cegah tangkal
cemen,penakut
cengengesan,tertawa
cepet,cepat
cew,cewek
chuyunk,sayang
cimeng,ganja
cipika cipiki,cium pipi kanan cium pipi kiri
ciyh,sih
ckepp,cakep
ckp,cakep
cmiiw,correct me if i'm wrong
cmpur,campur
cong,banci
conlok,cinta lokasi
cowwyy,maaf
cp,siapa
cpe,capek
cppe,capek
cucok,cocok
cuex,cuek
cumi,Cuma miscall
cups,culun
curanmor,pencurian kendaraan bermotor
curcol,curahan hati colongan
cwek,cewek
cyin,cinta
d,di
dapet,dapat
de,deh
dek,adik
deyh,deh
dgn,dengan
diancurin,dihancurkan
dimaafin,dimaafkan
dimintak,diminta
disono,di sana
dket,dekat
dkk,dan kawan-kawan
dll,dan lain-lain
dlu,dulu
dngn,dengan
dodol,bodoh
doku,uang
dongs,dong
dpt,dapat
dri,dari
drmn,dari mana
drtd,dari tadi
dst,dan seterusnya
dtg,datang
duh,aduh
duren,durian
ed,edisi
egp,emang gue pikirin
eke,aku
elu,kamu
emangnya,memangnya
emng,memang
endak,tidak
enggak,tidak
envy,iri
ex,mantan
fax,facsimile
fifo,first in first out
folbek,follow back
fyi,sebagai informasi
gaada,tidak ada
gag,tidak
gaje,tidak jelas
gak papa,tidak apa-apa
gan,juragan
gaptek,gagap teknologi
gatek,gagap teknologi
gawe,kerja
gbs,tidak bisa
gebetan,orang yang disuka
geje,tidak jelas
gepeng,gelandangan dan pengemis
ghiy,lagi
gile,gila
gimana,bagaimana
gino,gigi nongol
githu,gitu
gj,tidak jelas
gmana,bagaimana
gn,begini
goblok,bodoh
golput,golongan putih
gowes,mengayuh sepeda
gpny,tidak punya
gr,gara
gretongan,gratisan
guoblok,goblok
gw,aku
ha,tertawa
haha,tertawa
hallow,halo
hankam,pertahanan dan keamanan
hehe,he
helo,halo
hey,hai
hlm,halaman
hny,hanya
hoax,isu bohong
hr,hari
hrus,harus
hubdar,perhubungan darat
huff,mengeluh
hum,rumah
humz,rumah
ilang,hilang
ilfil,tidak suka
imho,in my humble opinion
imoetz,imut
item,hitam
itungan,hitungan
iye,iya
ja,saja
jadiin,jadi
jaim,jaga image
jayus,tidak lucu
jdi,jadi
jem,jam
jga,juga
jgnkan,jangankan
jir,anjing
jln,jalan
jomblo,tidak punya pacar
jubir,juru bicara
jutek,galak
k,ke
kab,kabupaten
kabor,kabur
kacrut,kacau
kadiv,kepala divisi
kalo,jika
kampret,sialan
kamtibmas,keamanan dan ketertiban masyarakat
kamuwh,kamu
kanwil,kantor wilayah
karna,karena
kasubbag,kepala subbagian
katrok,kampungan
kayanya,kayaknya
kbr,kabar
kdu,harus
kec,kecamatan
kejurnas,kejuaraan nasional
kekeuh,keras kepala
kel,kelurahan
kemaren,kemarin
kepengen,mau
kepingin,mau
kepsek,kepala sekolah
kesbang,kesatuan bangsa
kesra,kesejahteraan rakyat
ketrima,diterima
kgiatan,kegiatan
kibul,bohong
kimpoi,kawin
kl,kalo
klianz,kalian
kloter,kelompok terbang
klw,kalau
km,kamu
kmps,kampus
kmrn,kemarin
knal,kenal
knp,kenapa
kodya,kota madya
komdis,komisi disiplin
komsov,komunis sovyet
kongkow,kumpul bareng teman-teman
kopdar,kopi darat
korup,korupsi
kpn,kapan
krenz,keren
krm,kirim
kt,kita
ktmu,ketemu
ktr,kantor
kuper,kurang pergaulan
kw,imitasi
la,lah
lam,salam
lamp,lampiran
lanud,landasan udara
latgab,latihan gabungan
lebay,berlebihan
leh,boleh
lelet,lambat
lemot,lambat
lgi,lagi
lgsg,langsung
liat,lihat
litbang,penelitian dan pengembangan
lmyn,lumayan
lo,kamu
loe,kamu
lola,lambat berfikir
louph,cinta
low,kalau
lp,lupa
luber,"langsung, umum, bebas, dan rahasia"
luchuw,lucu
lum,belum
luthu,lucu
lwn,lawan
maacih,terima kasih
mabal,bolos
macem,macam
macih,masih
maem,makan
magabut,makan gaji buta
maho,homo
mak jang,kaget
maksain,memaksa
malem,malam
mam,makan
maneh,kamu
maniez,manis
mao,mau
masukin,masukkan
melu,ikut
mepet,dekat sekali
mgu,minggu
migas,minyak dan gas bumi
mikol,minuman beralkohol
miras,minuman keras
mlah,malah
mngkn,mungkin
mo,mau
mokad,mati
moso,masa
mpe,sampai
msk,masuk
mslh,masalah
mt,makan teman
mubes,musyawarah besar
mulu,terus
mumpung,selagi
munas,musyawarah nasional
muntaber,muntah dan berak
musti,mesti
muupz,maaf
mw,now watching
n,dan
nanam,menanam
nanya,tanya
napa,kenapa
napi,narapidana
napza,"narkotika, alkohol,psikotropika, dan zat adiktif "
narkoba,"narkotika, psikotropika, dan obat terlarang"
nasgor,nasi goreng
nda,tidak
ndiri,sendiri
ne,ini
nekolin,neokolonialisme
nembak,menyatakan cinta
ngabuburit,menunggu berbuka puasa
ngaku,mengaku
ngambil,mengambil
nganggur,tidak punya pekerjaan
ngapah,kenapa
ngaret,terlambat
ngasih,memberikan
ngebandel,berbuat bandel
ngegosip,bergosip
ngeklaim,mengklaim
ngeksis,menjadi eksis
ngeles,berkilah
ngelidur,menggigau
ngerampok,merampok
ngga,tidak
ngibul,berbohong
ngiler,mau
ngiri,iri
ngisiin,mengisikan
ngmng,bicara
ngomong,bicara
ngubek2,mencari-cari
ngurus,mengurus
nie,ini
nih,ini
niyh,nih
nmr,nomor
nntn,nonton
nobar,nonton bareng
np,now playing
ntar,nanti
ntn,nonton
numpuk,bertumpuk
nutupin,menutupi
nyari,mencari
nyekar,menyekar
nyicil,mencicil
nyoblos,mencoblos
nyokap,ibu
ogah,tidak mau
ol,online
ongkir,ongkos kirim
oot,out of topic
org2,orang-orang
ortu,orang tua
otda,otonomi daerah
pacal,pacar
pake,pakai
pala,kepala
pansus,panitia khusus
parpol,partai politik
pasutri,pasangan suami istri
pd,pada
pede,percaya diri
pelatnas,pemusatan latihan nasional
pemda,pemerintah daerah
pemkot,pemerintah kota
pemred,pemimpin redaksi
penjas,pendidikan jasmani
perda,peraturan daerah
perhatiin,perhatikan
pesenan,pesanan
pgang,pegang
pi,tapi
pilkada,pemilihan kepala daerah
pisan,sangat
pk,penjahat kelamin
plg,paling
pmrnth,pemerintah
polantas,polisi lalu lintas
ponpes,pondok pesantren
pp,pulang pergi
prg,pergi
prnh,pernah
psen,pesan
pst,pasti
pswt,pesawat
pw,posisi nyaman
qmu,kamu
rakor,rapat koordinasi
ranmor,kendaraan bermotor
re,reply
ref,referensi
rehab,rehabilitasi
rempong,sulit
repp,balas
restik,reserse narkotika
rhs,rahasia
rmh,rumah
ru,baru
ruko,rumah toko
rusunawa,rumah susun sewa
ruz,terus
saia,saya
salting,salah tingkah
sampe,sampai
sapose,siapa
satpam,satuan pengamanan
sbb,sebagai berikut
sbh,sebuah
sbnrny,sebenarnya
scr,secara
sdgkn,sedangkan
sdkt,sedikit
se7,setuju
sebelas dua belas,mirip
sembako,sembilan bahan pokok
sempet,sempat
sendratari,seni drama tari
sgt,sangat
shg,sehingga
siech,sih
sikon,situasi dan kondisi
sinetron,sinema elektronik
siramin,siramkan
sj,saja
skalian,sekalian
sklh,sekolah
skt,sakit
slesai,selesai
sll,selalu
slma,selama
slsai,selesai
smpt,sempat
smw,semua
sndiri,sendiri
soljum,sholat jumat
songong,sombong
sory,maaf
sosek,sosial-ekonomi
sotoy,sok tahu
spa,siapa
sppa,siapa
spt,seperti
srtfkt,sertifikat
stiap,setiap
stlh,setelah
suk,masuk
sumpek,sempit
syg,sayang
t4,tempat
tajir,kaya
tau,tahu
taw,tahu
td,tadi
tdk,tidak
teh,kakak perempuan
telat,terlambat
telmi,telat berpikir
temen,teman
tengil,menyebalkan
tepar,terkapar
tggu,tunggu
tgu,tunggu
thankz,terima kasih
thn,tahun
tilang,bukti pelanggaran
tipiwan,TvOne
tks,terima kasih
tlp,telepon
tls,tulis
tmbah,tambah
tmen2,teman-teman
tmpah,tumpah
tmpt,tempat
tngu,tunggu
tnyta,ternyata
tokai,tai
toserba,toko serba ada
trdhulu,terdahulu
trima,terima kasih
trm,terima
trs,terus
trutama,terutama
ts,penulis
tst,tahu sama tahu
ttg,tentang
tuch,tuh
tuir,tua
tw,tahu
u,kamu
ud,sudah
udah,sudah
ujg,ujung
ul,ulangan
unyu,lucu
uplot,unggah
urang,saya
usah,perlu
valas,valuta asing
w/,dengan
wadir,wakil direktur
wamil,wajib militer
warkop,warung kopi
warteg,warung tegal
wat,buat
wkt,waktu
wtf,what the fuck
xixixi,tertawa
ya,iya
yap,iya
yaudah,ya sudah
yawdah,ya sudah
yl,yang lain
yo,iya
yowes,ya sudah
yup,iya
7an,tujuan
ababil,abg labil
acc,accord
adlah,adalah
adoh,aduh
aha,tertawa
aja,saja
ajj,saja
aka,dikenal juga sebagai
akko,aku
akku,aku
akyu,aku
aljasa,asal jadi saja
ama,sama
ambl,ambil
ank,anak
ap,apa
ape,apa
aplot,unggah
apva,apa
aqu,aku
asap,sesegera mungkin
aseek,asyik
asek,asyik
aseknya,asyiknya
asoy,asyik
astrojim,astagfirullahaladzim
ath,kalau begitu
atuh,kalau begitu
ava,avatar
aws,awas
ayang,sayang
ayok,ayo
bacot,banyak bicara
bales,balas
bangdes,pembangunan desa
bangkotan,tua
banpres,bantuan presiden
bansarkas,bantuan sarana kesehatan
bazis,"badan amal, zakat, infak, dan sedekah"
bcoz,karena
beb,sayang
bejibun,banyak
belom,belum
bener,benar
ber2,berdua
berdikari,berdiri di atas kaki sendiri
beti,beda tipis
beut,banget
bgd,banget
bgs,bagus
bhubu,tidur
bimbuluh,bimbingan dan penyuluhan
bisi,kalau-kalau
bl,beli
blg,bilang
blm,belum
bls,balas
bnchi,benci
bngung,bingung
bnyk,banyak
bohay,badan aduhai
bokep,porno
bokin,pacar
bole,boleh
bolot,bodoh
bonyok,ayah ibu
bpk,bapak
brb,segera kembali
brngkt,berangkat
brp,berapa
brur,saudara laki-laki
bsa,bisa
daring,online
bu_bu,tidur
bubarin,bubarkan
buber,buka bersama
bujubune,luar biasa
buser,buru sergap
bwhn,bawahan
byar,bayar
byr,bayar
c8,chat
cabut,pergi
caem,cakep
cama-cama,sama-sama
cangcut,celana dalam
cape,lelah
caur,jelek
cekak,tidak ada uang
cekidot,coba lihat
cemplungin,cemplungkan
ceper,pendek
ceu,kakak perempuan
cewe,cewek
cibuk,sibuk
cin,cinta
ciye,cie
ckck,ck
clbk,cinta lama bersemi kembali
cmpr,campur
cnenk,senang
congor,mulut
cow,cowok
coz,karena
cpa,siapa
gokil,gila
gombal,suka merayu
gpl,tidak pakai lama
gpp,tidak apa-apa
gretong,gratis
gt,begitu
gtw,tidak tahu
guys,teman-teman
gws,cepat sembuh
haghaghag,tertawa
hakhak,tertawa
handak,bahan peledak
hansip,pertahanan sipil
hellow,halo
helow,halo
hi,hai
hlng,hilang
hnya,hanya
houm,rumah
hrs,harus
hubad,hubungan angkatan darat
hubla,perhubungan laut
huft,mengeluh
humas,hubungan masyarakat
idk,saya tidak tahu
ilfeel,tidak suka
imba,jago sekali
imoet,imut
info,informasi
itung,hitung
isengin,bercanda
iyala,iya lah
iyo,iya
jablay,jarang dibelai
jadul,jaman dulu
jancuk,anjing
jd,jadi
jdikan,jadikan
jg,juga
jgn,jangan
jijay,jijik
jkt,jakarta
jnj,janji
jth,jatuh
jurdil,jujur adil
jwb,jawab
ka,kakak
kabag,kepala bagian
kacian,kasihan
kadit,kepala direktorat
kaga,tidak
kaka,kakak
kamtib,keamanan dan ketertiban
kamuh,kamu
kamyu,kamu
kapt,kapten
kasat,kepala satuan
kasubbid,kepala subbidang
kau,kamu
kbar,kabar
kcian,kasihan
keburu,terlanjur
kedubes,kedutaan besar
keknya,kayaknya
keliatan,kelihatan
keneh,masih
kepikiran,terpikirkan
kepo,mau tahu urusan orang
kere,tidak punya uang
kesian,kasihan
ketauan,ketahuan
keukeuh,keras kepala
khan,kan
kibus,kaki busuk
kk,kakak
klian,kalian
klo,kalau
kluarga,keluarga
klwrga,keluarga
kmari,kemari
kmpus,kampus
kn,kan
knl,kenal
knpa,kenapa
kog,kok
kompi,komputer
komtiong,komunis Tiongkok
konjen,konsulat jenderal
koq,kok
kpd,kepada
kptsan,keputusan
krik,garing
ktauan,ketahuan
ktny,katanya
kudu,harus
kuq,kok
ky,seperti
kykny,kayanya
laka,kecelakaan
lambreta,lambat
lansia,lanjut usia
lapas,lembaga pemasyarakatan
lbur,libur
lekong,laki-laki
lgkp,lengkap
lht,lihat
linmas,perlindungan masyarakat
lmyan,lumayan
lngkp,lengkap
loch,loh
lol,tertawa
lom,belum
loupz,cinta
lowh,kamu
luchu,lucu
luff,cinta
luph,cinta
lw,kamu
lwt,lewat
maaciw,terima kasih
mabes,markas besar
macem-macem,macam-macam
madesu,masa depan suram
maen,main
mahatma,maju sehat bersama
mak,ibu
makasih,terima kasih
malah,bahkan
malu2in,memalukan
mamz,makan
manies,manis
mantep,mantap
markus,makelar kasus
mba,mbak
mending,lebih baik
mgkn,mungkin
mhn,mohon
miker,minuman keras
milis,mailing list
mksd,maksud
mls,malas
mnt,minta
moge,motor gede
mokat,mati
mosok,masa
msh,masih
mskpn,meskipun
msng2,masing-masing
muahal,mahal
muker,musyawarah kerja
muna,munafik
munaslub,musyawarah nasional luar biasa
musda,musyawarah daerah
muup,maaf
muuv,maaf
nal,kenal
nangis,menangis
naon,apa
napol,narapidana politik
naq,anak
narsis,bangga pada diri sendiri
nax,anak
ndak,tidak
ndut,gendut
nekolim,neokolonialisme
nelfon,menelepon
ngabis2in,menghabiskan
ngakak,tertawa
ngambek,marah
ngampus,pergi ke kampus
ngantri,mengantri
ngapain,sedang apa
ngaruh,berpengaruh
ngawur,berbicara sembarangan
ngeceng,kumpul bareng-bareng
ngeh,sadar
ngekos,tinggal di kos
ngelamar,melamar
ngeliat,melihat
ngemeng,bicara terus-terusan
ngerti,mengerti
nggak,tidak
ngikut,ikut
nginep,menginap
ngisi,mengisi
ngmg,bicara
ngocol,lucu
ngomongin,membicarakan
ngumpul,berkumpul
nyasar,tersesat
nyariin,mencari
nyiapin,mempersiapkan
nyiram,menyiram
nyok,ayo
o/,oleh
ok,ok
priksa,periksa
pro,profesional
psn,pesan
psti,pasti
puanas,panas
qmo,kamu
qt,kita
rame,ramai
raskin,rakyat miskin
red,redaksi
reg,register
rejeki,rezeki
renstra,rencana strategis
reskrim,reserse kriminal
sni,sini
somse,sombong sekali
sorry,maaf
sosbud,sosial-budaya
sospol,sosial-politik
sowry,maaf
spd,sepeda
sprti,seperti
spy,supaya
stelah,setelah
subbag,subbagian
sumbangin,sumbangkan
syp,siapa
tabanas,tabungan pembangunan nasional
tar,nanti
taun,tahun
tawh,tahu
tdi,tadi
te2p,tetap
tekor,rugi
telkom,telekomunikasi
telp,telepon
temen2,teman-teman
tengok,menjenguk
terbitin,terbitkan
tgl,tanggal
thanks,terima kasih
thd,terhadap
thx,terimakasih
tipi,TV
tkg,tukang
tll,terlalu
tlpn,telepon
tman,teman
tmbh,tambah
tmn2,teman-teman
tmph,tumpah
tnda,tanda
tnh,tanah
togel,toto gelap
tq,thank you
trgntg,tergantung
trims,terima kasih
cb,coba
munfik,munafik
reklamuk,reklamasi
tren,trend
ngehe,kesal
mz,mas
analisise,analisis
sadaar,sadar
sept,september
nmenarik,menarik
zonk,bodoh
rights,benar
simiskin,miskin
ngumpet,sembunyi
hardcore,keras
akhirx,akhirnya
solve,solusi
watuk,batuk
ngebully,intimidasi
masy,masyarakat
still,masih
tauk,tahu
mbual,bual
tioghoa,tionghoa
ngentotin,senggama
kentot,senggama
faktakta,fakta
sohib,teman
rubahnn,rubah
bdk2,anak anak
trlalu,terlalu
nyela,cela
heters,pembenci
nyembah,sembah
most,paling
ikon,lambang
light,terang
pndukung,pendukung
setting,atur
seting,akting
next,lanjut
waspadalah,waspada
gantengsaya,ganteng
parte,partai
nyerang,serang
nipu,tipu
ktipu,tipu
jentelmen,berani
buangbuang,buang
tsangka,tersangka
kurng,kurang
ista,nista
less,kurang
koar,teriak
paranoid,takut
problem,masalah
tahi,kotoran
tirani,tiran
tilep,tilap
happy,bahagia
penertiban,tertib
uasai,kuasa
mnolak,tolak
trending,trend
taik,tahi
wkwkkw,tertawa
ahokncc,ahok
istaa,nista
aku,saya
benarjujur,jujur
mgkin,mungkin
onlineotak,otak daring
oflen,offline
cancel,batal
drpd,daripada
tgs,tugas
workfromhome,bekerja dari rumah
atuser,
and,dan
dha,dia
kira2,kira kira
cpt2,cepat cepat
gmn,gimana
tmn,teman
tdr,tidur
bgtt,banget
msi,masih
mtkk,matematika
mtkkk,matematika
ortuku,orang tuaku
mrk,mereka
ytb,youtube
tiba2,tiba-tiba
begimanaaa,bagaimana
laptoo,laptop
ngapsen,mengabsen
dr,dari
bisa2,bisa-bisa
menyulidkan,menyulitkan
dadi,jadi
terossss,terus
pembeljrn,pembelajaran
tny,tanya
sblm,seblum
oplen,offline
slrh,seluruh
ketum,ketua umum
adkel,adik kelas
mntp,mantap
r i p,mati
dahlah,sudahlah
ckuplah,cukuplah
kulon,kuliah online
pulang2,pulang-pulang
cororong,corona
notip,notifikasi
ambis,ambisi
onlennnn,online
sm,sama
matlis,mati listrik
tementemen,teman-teman
udeh,udah
jahat2,jahat jahat
kulyah,kuliah
school,sekolah
nyusahke,nyusahkan
irit2,irit irit
mudeng,ngerti
paham2,paham paham
jingan,bajingan
anj,anjing
mless,malas
class,kelas
sering2,sering sering
skul,sekolah
kelar2,kelar kelar
guru2,guru-guru
berbeda2,berbeda-beda
pinter2,pinter-pinter
tipsen,titip absen
gblggg,goblok
gblg,goblok
anak2,anak-anak
slm,selama
anjg,anjing
lama2,lama-lama
males banget,sangat malas
mles,males
teman2,teman-teman
ajggg,anjing
tida,tidak
bener2,bener bener
paling burung,paling buruk
kelen,kalian
stgh,setengah
oengen,mau
tyda,tidak
yh,ya
ako,aku
lebi,lebih
onlineee,online
banya,banyak
ibuk,ibu
ppl,
dom,domisili
sekaliii,sekali
sbg,sebagai
org,orang
gblk,bodoh
sokusinya,solusinya
anjim,anjing
flishhh,plis
online,onlen
us,ujian sekolah
utbk,ujian tulis berbasis komputer
ngalong,begadang
please,tolong
dbuat,dibuat
gmna,gimana
masup,masuk
nngys,nangis
goblo,bodoh
mnding,mending
gwa,aku
tkt,takut
we,aku
kerad,gila
rl,real life
lnjut,lanjut
nder,brother
skr,sekarang
sekul,sekolah
gtu,gitu
gc,group chat
mhs,mahasiswa
udh,udah
bgst,bangsat
classes,kelas
conference,konferensi
kadis,kepala dinas
kabid,kepala bidang
entah,tidak tahu
hbis,habis
lupaa,lupa
tl,timeline
prefer,lebih memilih
gakuat,tidak kuat
ampunn,ampun
kampus2,kampus-kampus
dpr,dewan perwakilan rakyat
rapotan,raport
i,saya
mean,maksud
blas,sama sekali
kasi,kasih
seneng,senang
flis,tolong
gakuad,tidak kuat
bk,besok
bbrp,beberapa
hate,benci
gabut,bosan
nungguin,menunggu
nyelesain,menyelesaikan
pengen,mau
skolah,sekolah
wth,apa apaan
satu2nya,satu-satunya
ngelawan,melawan
ena,enak
statistics,statistik
manusya,manusia
kwad,kuat
cumanan,hanya
tmptku,tempatku
ngapainnnn,ngapain
lord,tuan
masi,masih
gx,tidak
gabisa,tidak bisa
langsungg,langsung
kbnykn,kebanyakan
sfh,belajar dari rumah
smngt,semangat
rewelnya,susahnya
sdg,sedang
thun,tahun
ppdb,penerimaan peserta didik baru
nakes,tenaga kesehatan
lipia,lembaga ilmu pengetahuan islam dan arab
ngingetin,mengingatkan
unk,untuk
makasihh,terimakasih
suruu,suruh
reward,penghargaan
yak,iya
un,ujian nasional
ipk,indeks prestasi kumulatif
iyh,iya
ngx,tidak
pls,tolong
gatahan,tidak tahan
msih,masih
day,hari
mageran,malas gerak
nerapin,menerapkan
cuman,hanya
betuls,betul
krucil2,anak-anak
ngurusinnya,mengurusnya
matkul,mata kuliah
jl,jalan
jakpus,jakarta pusat
for,untuk
education,pendidikan
boro,jangankan
or,atau
ges,guys
muk,mau
graphic,grafik
gaaaa,tidak
teross,terus
break,istirahat
ttep,tetap
hyung,kakak
good night,selamat malam
medsos,media sosial
mrah,merah
ldr,hubungan jarak jauh
seabreg,banyak
gatidur,tidak tidur
pantes,pantas
baek,baik
berb,verb
bo,mau
netthink,nethink
cicle,lingkungan
ma,sama
kaayak,seperti
yaallah,ya allah
laen,lain
spertinya,sepertinya
kdg,kadang
b,bahasa
mauuu,mau
apk,aplikasi
pebisnis,pembisnis
opo,apa
ora,tidak
sabaarrrr,sabar
prepare,mempersiapkan
halokes,sekolah
bobo,tidur
after,setelah
ngajar,mengajar
kndisi,kondisi
yth,yang terhormat
brkontribusi,berkontribusi
mmberikan,memberikan
mmbuat,membuat
adik2,adik-adik
skrg,sekarang
blkngan,belakangan
dng,dengan
mama,ibu
teacher,guru
slamat,selamat
well,jadi
ampe,sampai
ujung2nya,akhirnya
sudahhh,sudah
agsts,agustus
ipnya,indeks prestasi nya
krs,kartu rencana studi
smngat,semangat
5nya,5
smg,semoga
nnti,nanti
gaenak,tidak enak
ngulang,mengulang
biar,supaya
bayangin,bayangkan
bikin,buat
ujung,akhirnya
req,request
bobol,menjebol
bnr2,benar-benar
ready,siap
kids,anak-anak
must,harus
be safe,berhati-hati
bantuinn,bantuin
yaa,ya
pic,picture
they,mereka
not,belum
a,menjadi seseorang
man,laki-laki dewasa
ga,tidak
iq,aku
jkw,jokowi
sbnrnya,sebenarnya
soale,soalnya
assesment,penilaian
magang2,magang
mon maap,mohon maaf
gajadi,tidak jadi
gakan,tidak akan
da,lah
nyuwun sewu,maaf
pki,partai komunis indonesia
lbh,lebih
dl,dulu
gara2,gara-gara
malming,malam minggu
tuh,itu
tetep,tetap
pdhal,padahal
skrang,sekarang
sumpahlah,sumpah
rto,request time out
face to face,tatap muka
online class,kelas online
kgk,tidak
pliss,tolong
taknak,tidak mau
stress,stres
gausah,tidak usah
ndek,di
sampek,sampai
hp,handphone
ngesakno,menyusahkan
dekne,ngrsakno
universiti,universitas
ndilok,melihat
jelimet,rumit
cuba,coba
nak,mau
bnr,benar
belii,beli
mashok,masuk
udaa,sudah
gedeee,besar
worth,bernilai
baiknya,sebaiknya
gwe,aku
from,dari
home,rumah
mrka,mereka
mmf,maaf
dipke,dipake
gangerti,tidak mengerti
apa2,apa-apa
free,bebas
rt,retweet
nsk,mau
kayaknya,sepertinya
tu,itu
sekaly,sekali
rada,agak
nyantol,nyangkut
to,tryout
ptn,perguruan tinggi negeri
bareng,bareng-bareng
semangatt,semangat
dlm,dalam
gesss,guys
smoga,semoga
skuy,yuk
gugel,google
gamau,gak mau
skrng,sekarang
bgini,begini
bljr,belajar
misqueen,miskin
menjadu,menajdi
vc,video call
mb, 
spp,sumbangan pembinaan pendidikan
mbolos,bolos
krena,karena
nggk,enggak
bkan,bukan
diy,daerah istimewa yogyakarta
manala,mana yang
yaaa,ya
nambah2,nambah-nambah
keja,kerja
akuu,aku
tuu,itu
gituu,gitu
hengpon,handphone
murit,murid
klayapan,kelayapan
ngilang,hilang
gilaaaaa,gila
ukt,uang kuliah tinggal
kgn,kangen
kls,kelas
kpai,komisi perlindungan anak indonesia
mksdnya,maksudnya
gimna,gimana
riweh,ribet
brou,bro
kmtllll,kontol
pembelajaranjarakjauh,pembelajaran jarak jauh
